shard,i,relwidth_M,relwidth_a_star,relwidth_eps_f,relwidth_eps_Q,relwidth_log10_A_bounce,relwidth_log10_dt_bounce_s,relwidth_D_L,relwidth_i
75,9,0.032085671874379794,0.22173263555987738,0.27438713969352013,0.23963602900326875,0.006012845871867882,0.003297197262075946,0.1289551911211417,0.1713617440361539
75,10,0.00010081931944858819,5.172717088620017e-12,0.00010874635355203969,2.280682487613479e-09,3.3081140517048326e-06,6.4264250262986744e-12,0.0003951628903106927,0.004471469404207503
75,11,0.022119378243751976,0.2466863319880629,0.26968112456635435,0.2691461283755896,0.15211353365007416,0.3350462532961147,0.1604127613828976,0.20688337055304978
75,12,0.019671160281424543,0.18013088949923858,0.25149653810458883,0.23142874571405228,0.00033903695233677766,3.4396912778519275e-07,0.12230471675051077,0.16088915504660706
75,13,1.861083565469589e-10,2.0157313839331426e-12,2.090700640273734e-10,4.899373144082618e-10,1.4721383001283127e-06,3.857599547931324e-12,0.00035711656781744816,0.004043255652406725
75,14,0.0590620680908643,0.011250737861542513,0.16682533950021125,0.11315387477926986,4.277776085370879e-05,7.475950285104565e-05,0.1016402117629259,0.14155515098381607
75,15,0.026512717237047272,0.221457177332285,0.2515280050650589,0.2529314880387489,0.003081277292800802,0.0003042686022105269,0.16110124879734306,0.24688478326664895
75,16,0.04581751069919381,0.2023450213637843,0.24368040824953097,0.18576394842210475,0.00014760988341061773,7.454625439224767e-06,0.12102776881937187,0.17174412971645686
75,17,3.9838345970911784e-05,3.843431413123052e-12,4.297483439128958e-05,1.420570695474761e-09,2.5084196527077122e-06,4.890209780145102e-12,0.00030605945853980413,0.003988398235649327
75,18,0.011374249155733174,0.16592587679061244,0.16886779058701246,0.24607264179192107,0.0003111633536862427,1.9067227475483534e-05,0.18659954790093805,0.2753657218477438
75,19,0.052968172386119075,0.19100051946831156,0.23514186247691274,0.16396249249412148,2.2141190833818298e-05,9.512392735514707e-07,0.09456049370711858,0.11147415004186494
75,20,0.014691194755527864,0.13271824985661385,0.17210526727325098,0.24003925392115769,2.475702371745133e-06,1.0263084422251151e-08,0.1327658263762733,0.1654196777569367
75,21,5.292782019606548e-09,3.354672509247083e-11,5.906540553319595e-09,9.13634359101558e-09,6.764891884406923e-06,4.736844694564293e-11,0.00036020852102115573,0.00416493511558835
75,22,0.01275979887193879,0.14522797861153802,0.1775285396584782,0.24396002141533368,4.053026613907901e-06,3.4114548572158664e-09,0.14545699695645595,0.21449441047118764
75,23,2.0860425841873785e-10,3.4103017574913858e-12,2.428310947940399e-10,7.997341401041008e-10,1.8787236320737383e-06,1.0661971129249645e-11,0.0003654544313605041,0.004025959883621626
